 Time,Acc_x,Acc_y,Acc_z,HRM_b,HRM_c,HRM_r,HRM_f,PPG_r,PPG_o,BTHRM
 1654529610191.8544921875,,,,,,564,-23745,1967,-1685,
 1654529610232.259765625,,,,,,628,-23066,1967,-1653,
 1654529610241.72021484375,0.00817871093,0.607421875,-0.80639648437,,,,,,,,
 1654529610272.4208984375,,,,,,724,-21022,1983,-1621,
 1654529610312.76513671875,,,,,,916,-17572,2047,-1589,
 1654529610321.76782226562,0.00695800781,0.62512207031,-0.80029296875,,,,,,,,
 1654529610393.2705078125,,,,,,1140,-12858,2127,-1557,
 1654529610401.17456054687,0.00231933593,0.61975097656,-0.80883789062,,,,,,,,
 1654529610433.82836914062,,,,,,1268,-7189,2159,-1525,
 1654529610457.6015625,,,,82,100,,,,
 1654529610460.56176757812,,,,,,,,,,82
 1654529610474.14208984375,,,,,,1428,-824,2207,-1493,
 1654529610482.07666015625,0.00109863281,0.61730957031,-0.81079101562,,,,,,,,
 1654529610514.45581054687,,,,,,1580,5795,2251,-1461,
 1654529610554.67797851562,,,,,,1708,12250,2283,-1429,
 1654529610562.58203125,0.00158691406,0.62243652343,-0.80651855468,,,,,,,,
 1654529610594.80859375,,,,,,1812,18076,2303,-1397,
 1654529610635.12231445312,,,,,,1924,23018,2327,-1365,
 1654529610642.904296875,-0.00134277343,0.63000488281,-0.80139160156,,,,,,,,
 1654529610675.77172851562,,,,,,2004,26811,2335,-1333,
 1654529610715.658203125,,,,,,2052,29342,2327,-1301,
 1654529610723.37915039062,0.00048828125,0.63049316406,-0.80212402343,,,,,,,,
 1654529610756.12451171875,,,,,,2100,30530,2319,-1269,
 1654529610800.03930664062,,,,,,2164,30495,2319,-1237,
 1654529610805.013671875,,,,48,51,,,,
 1654529610809.01147460937,0.00122070312,0.62231445312,-0.80346679687,,,,,,,,
 1654529610836.72143554687,,,,,,2196,29416,2303,-1205,
 1654529610879.78173828125,,,,,,2260,27592,2303,-1173,
 1654529610885.091796875,0.00170898437,0.61853027343,-0.80822753906,,,,,,,,
 1654529610917.1962890625,,,,,,2276,25173,2279,-1141,
 1654529611008.59643554687,-0.00024414062,0.61779785156,-0.80944824218,,,,,,,,
 1654529611013.05200195312,,,,,,2324,22376,2271,-1109,
 1654529611045.09545898437,-0.00012207031,0.62268066406,-0.80480957031,,,,,,,,
 1654529611049.70361328125,,,,,,2548,16260,2319,-1045,
 1654529611078.63427734375,,,,,,2644,13130,2335,-1013,
 1654529611121.57250976562,,,,,,2740,9895,2351,-981,
 1654529611159.10913085937,,,,,,2828,6477,2363,-949,
 1654529611202.13891601562,,,,,,2900,2732,2367,-917,
 1654529611239.52294921875,,,,,,2964,-1406,2367,-885,
 1654529611282.61376953125,,,,,,2996,-6026,2351,-853,
 1654529611320.21142578125,,,,,,3060,-11103,2351,-821,
 1654529611363.2412109375,0.00476074218,0.62414550781,-0.80981445312,,,,,,,,
 1654529611367.45263671875,,,,,,3124,-16508,2351,-789,
 1654529611400.86938476562,,,,,,3188,-22001,2351,-757,
 1654529611444.81469726562,0.00537109375,0.62048339843,-0.8017578125,,,,,,,,
 1654529611449.02612304687,,,,,,3252,-27307,2351,-725,
 1654529611481.4052734375,,,,,,3300,-32214,2343,-693,
 1654529611524.58764648437,0.0087890625,0.61975097656,-0.79919433593,,,,,,,,
 1654529611528.70751953125,,,,,,3332,-32768,2327,-661,
 1654529611562.826171875,,,,82,100,,,,
 1654529611565.90844726562,,,,,,,,,,82
 1654529611569.14331054687,,,,,,3348,-32768,2303,-629,
 1654529611605.94750976562,0.01245117187,0.62145996093,-0.79895019531,,,,,,,,
 1654529611610.0673828125,,,,,,3404,-32768,2299,-597,
 1654529611685.53735351562,0.00903320312,0.6181640625,-0.79467773437,,,,,,,,
 1654529611689.74877929687,,,,,,3396,-32768,2263,-565,
 1654529611723.2265625,,,,,,3436,-32768,2251,-533,
 1654529611766.0732421875,0.00634765625,0.61340332031,-0.79895019531,,,,,,,,
 1654529611770.52880859375,,,,,,3508,-32768,2255,-501,
 1654529611803.82348632812,,,,,,3604,-32768,2271,-469,
 1654529611846.85327148437,0.00512695312,0.61328125,-0.80517578125,,,,,,,,
 1654529611850.88159179687,,,,,,3700,-32768,2287,-437,
 1654529611884.38989257812,,,,,,3796,-32768,2303,-405,
 1654529611927.48071289062,0.00659179687,0.61645507812,-0.80383300781,,,,,,,,
 1654529611931.53955078125,,,,,,3860,-32768,2303,-373,
 1654529612006.21606445312,,,,,,3924,-32768,2303,-341,
 1654529612017.904296875,,,,,,3988,-32768,2303,-309,
 1654529612045.40063476562,,,,,,4052,-32768,2303,-277,
 1654529612082.14379882812,0.00598144531,0.62585449218,-0.79418945312,,,,,,,,
 1654529612106.19165039062,,,,79,100,,,,
 1654529612109.54858398437,,,,,,,,,,79
 1654529612126.11962890625,,,,,,4100,-32768,2295,-245,
 1654529612161.3369140625,0.00805664062,0.62854003906,-0.79663085937,,,,,,,,
 1654529612206.44189453125,,,,,,4164,-29797,2295,-213,
 1654529612241.1708984375,0.01208496093,0.62866210937,-0.79992675781,,,,,,,,
 1654529612287.19140625,,,,,,4164,-25050,2263,-181,
 1654529612321.126953125,0.01403808593,0.62463378906,-0.79724121093,,,,,,,,
 1654529612367.6357421875,,,,,,4180,-17984,2239,-149,
 1654529612408.31567382812,0.01806640625,0.61962890625,-0.80017089843,,,,,,,,
 1654529612412.435546875,,,,,,4228,-8233,2231,-117,
 1654529612448.41577148437,,,,,,4268,4258,2219,-85,
 1654529612488.18017578125,0.01574707031,0.62036132812,-0.80261230468,,,,,,,,
 1654529612492.42211914062,,,,,,4324,19407,2215,-53,
 1654529612528.70751953125,,,,,,4372,32767,2207,-21,
 1654529612566.27465820312,0.01159667968,0.61657714843,-0.8046875,,,,,,,,
 1654529612573.6904296875,,,,,,4446,32767,2223,0,
 1654529612578.54272460937,,,,44,60,,,,
 1654529612609.79272460937,,,,,,4510,32767,2255,0,
 1654529612645.98657226562,0.0126953125,0.61486816406,-0.81311035156,,,,,,,,
 1654529612652.63940429687,,,,,,4574,32767,2287,0,
 1654529612690.17602539062,,,,,,4606,32767,2303,0,
 1654529612721.09033203125,0.01220703125,0.6181640625,-0.81372070312,,,,,,,,
 1654529612732.9921875,,,,,,4654,32767,2327,0,
 1654529612770.62036132812,,,,,,4654,32767,2327,0,
 1654529612801.107421875,0.00891113281,0.61767578125,-0.8046875,,,,,,,,
 1654529612851.0341796875,,,,,,4654,32767,2327,0,
 1654529612881.21606445312,0.00732421875,0.6142578125,-0.79943847656,,,,,,,,
 1654529612892.81274414062,,,,,,4670,32767,2335,0,
 1654529612932.24145507812,,,,,,4662,32767,2331,0,
 1654529613009.81713867187,0.0107421875,0.60852050781,-0.80224609375,,,,,,,,
 1654529613013.90649414062,,,,,,4654,32767,2327,0,
 1654529613041.18920898437,0.00708007812,0.60998535156,-0.80554199218,,,,,,,,
 1654529613053.60986328125,,,,,,4654,32767,2327,0,
 1654529613092.94702148437,,,,,,4606,25627,2303,0,
 1654529613121.45043945312,0.00341796875,0.61279296875,-0.80200195312,,,,,,,,
 1654529613133.3828125,,,,,,4602,2201,2301,0,
 1654529613173.39135742187,,,,,,4558,-19503,2279,0,
 1654529613272.93969726562,,,,79,100,,,,
 1654529613276.02197265625,,,,,,,,,,79
 1654529613281.6982421875,0.00476074218,0.61401367187,-0.79919433593,,,,,,,,
 1654529613286.48950195312,,,,,,4526,-32768,2263,0,
 1654529613291.9521484375,0.00952148437,0.61572265625,-0.796875,,,,,,,,
 1654529613334.85986328125,,,,,,4462,-32768,2231,0,
 1654529613361.31860351562,0.01281738281,0.61755371093,-0.79895019531,,,,,,,,
 1654529613375.53979492187,,,,,,4462,-32768,2231,0,
 1654529613415.2431640625,,,,,,4478,-32768,2239,0,
 1654529613440.8779296875,0.01220703125,0.61730957031,-0.81042480468,,,,,,,,
 1654529613455.73999023437,,,,,,4574,-32768,2287,0,
 1654529613495.84008789062,,,,,,4606,-32768,2303,0,
 1654529613521.078125,0.01098632812,0.61828613281,-0.81359863281,,,,,,,,
 1654529613536.39794921875,,,,,,4654,-32768,2327,0,
 1654529613576.46752929687,,,,,,4702,-32768,2351,0,
 1654529613601.15625,0.01147460937,0.61767578125,-0.806640625,,,,,,,,
 1654529613616.99487304687,,,,,,4702,-32768,2351,0,
 1654529613657.03393554687,,,,,,4718,-32768,2359,0,
 1654529613680.83764648437,0.00952148437,0.6142578125,-0.80041503906,,,,,,,,
 1654529613697.62231445312,,,,,,4718,-32768,2359,0,
 1654529613737.60034179687,,,,,,4734,-32768,2367,0,
 1654529613761.068359375,0.00866699218,0.61791992187,-0.79956054687,,,,,,,,
 1654529613778.21923828125,,,,,,4734,-32768,2367,0,
 1654529613818.197265625,,,,,,4702,-32768,2351,0,
 1654529613841.11596679687,0.01342773437,0.61755371093,-0.80017089843,,,,,,,,
 1654529613858.75512695312,,,,,,4702,-32768,2351,0,
 1654529613898.82470703125,,,,,,4662,-32768,2331,0,
 1654529613920.82788085937,0.013671875,0.6142578125,-0.79736328125,,,,,,,,
 1654529613939.35205078125,,,,,,4654,-32768,2327,0,
 1654529614006.00244140625,,,,,,4634,-32768,2317,0,
 1654529614023.45849609375,,,,,,4598,-32768,2299,0,
 1654529614060.23217773437,,,,,,4574,-32768,2287,0,
 1654529614081.07568359375,0.00305175781,0.62268066406,-0.79748535156,,,,,,,,
 1654529614100.57641601562,,,,,,4566,-25074,2283,0,
 1654529614140.5849609375,,,,,,4526,-13170,2263,0,
 1654529614160.75708007812,0.00463867187,0.61975097656,-0.80029296875,,,,,,,,
 1654529614181.1123046875,,,,,,4478,-930,2239,0,
 1654529614221.18188476562,,,,,,4438,10960,2219,0,
 1654529614241.10986328125,0.00012207031,0.62145996093,-0.80053710937,,,,,,,,
 1654529614261.70922851562,,,,,,4430,21885,2215,0,
 1654529614311.94116210937,,,,77,100,,,,
 1654529614314.99291992187,,,,,,,,,,77
 1654529614320.79125976562,,,,,,4462,31286,2231,0,
 1654529614325.82666015625,0.00012207031,0.62329101562,-0.79541015625,,,,,,,,
 1654529614342.611328125,,,,,,4542,32767,2271,0,
 1654529614383.23022460937,,,,,,4606,32767,2303,0,
 1654529614388.75390625,,,,42,60,,,,
 1654529614400.716796875,0.00317382812,0.62316894531,-0.79724121093,,,,,,,,
 1654529614422.93359375,,,,,,4606,32767,2303,0,
 1654529614463.4609375,,,,,,4654,32767,2327,0,
 1654529614481.06958007812,0.00048828125,0.62622070312,-0.80749511718,,,,,,,,
 1654529614503.255859375,,,,,,4670,32767,2335,0,
 1654529614543.56958007812,,,,,,4670,32767,2335,0,
 1654529614561.1171875,0.00341796875,0.62341308593,-0.81433105468,,,,,,,,
 1654529614584.21899414062,,,,,,4670,32767,2335,0,
 1654529614624.13598632812,,,,,,4702,32767,2351,0,
 1654529614640.67651367187,0.00988769531,0.61901855468,-0.81115722656,,,,,,,,
 1654529614664.93798828125,,,,,,4694,32767,2347,0,
 1654529614704.73291015625,,,,,,4702,32767,2351,0,
 1654529614721.029296875,0.0078125,0.61389160156,-0.80151367187,,,,,,,,
 1654529614745.26025390625,,,,,,4694,32767,2347,0,
 1654529614801.80932617187,0.0078125,0.61242675781,-0.79907226562,,,,,,,,
 1654529614826.10131835937,,,,,,4686,32767,2343,0,
 1654529614865.95727539062,,,,,,4654,32160,2327,0,
 1654529614880.63623046875,0.01098632812,0.61596679687,-0.80517578125,,,,,,,,
 1654529614906.51513671875,,,,,,4654,30640,2327,0,
 1654529614946.52368164062,,,,,,4606,28830,2303,0,
 1654529615013.54028320312,0.00939941406,0.61547851562,-0.80810546875,,,,,,,,
 1654529615017.99584960937,,,,,,4606,26518,2303,0,
 1654529615041.09765625,0.00964355468,0.61010742187,-0.80834960937,,,,,,,,
 1654529615067.98364257812,,,,,,4570,19869,2285,0,
 1654529615108.02270507812,,,,,,4526,15453,2263,0,
 1654529615120.59594726562,0.009765625,0.60864257812,-0.80847167968,,,,,,,,
 1654529615148.24487304687,,,,,,4478,10434,2239,0,
 1654529615188.314453125,,,,,,4478,4988,2239,0,
 1654529615200.79614257812,0.0087890625,0.61010742187,-0.81066894531,,,,,,,,
 1654529615268.85034179687,,,,,,4590,-567,2295,0,
 1654529615281.02685546875,0.01037597656,0.60754394531,-0.81579589843,,,,,,,,
 1654529615309.5302734375,,,,,,4606,-6032,2303,0,
 1654529615349.41674804687,,,,,,4654,-11100,2327,0,
 1654529615360.5556640625,0.01428222656,0.6064453125,-0.81811523437,,,,,,,,
 1654529615408.529296875,,,,76,100,,,,
 1654529615411.55053710937,,,,,,,,,,76
