 Time,Acc_x,Acc_y,Acc_z,HRM_b,HRM_c,HRM_r,HRM_f,PPG_r,PPG_o,BTHRM
 1655063128039.69775390625,,,,,,16845,-16566,3094,13751,
 1655063128110.40698242187,0.24890136718,0.69250488281,-0.78967285156,,,,,,,,
 1655063128189.75268554687,,,,,,16724,-9370,3037,13687,
 1655063128199.33520507812,0.53820800781,0.63354492187,-0.76843261718,,,,,,,,
 1655063128249.78076171875,,,,,,16847,-5726,3224,13623,
 1655063128256.89135742187,0.42919921875,0.51953125,-0.68151855468,,,,,,,,
 1655063128327.29541015625,,,,,,16885,-5395,3294,13591,
 1655063128335.046875,-0.0205078125,0.51293945312,-0.74108886718,,,,,,,,
 1655063128369.8369140625,,,,,,16829,-9624,3334,13495,
 1655063128375.29956054687,,,,63,0,,,,
 1655063128455.0419921875,0.02490234375,0.61853027343,-0.796875,,,,,,,,
 1655063128461.72534179687,,,,,,16684,-16574,3285,13399,
 1655063128642.7861328125,,,,,,,,,,103
 1655063128645.7158203125,,,,,,,,,,103
 1655063128648.67602539062,0.57116699218,0.509765625,-0.78845214843,,,,,,,,
 1655063128662.28686523437,,,,,,16708,-20526,3437,13271,
 1655063128722.31494140625,,,,,,16767,-20135,3528,13239,
 1655063128766.47387695312,0.15625,0.3984375,-0.71447753906,,,,,,,,
 1655063128789.85034179687,,,,,,16814,-16666,3661,13175,
 1655063128798.88354492187,-0.11779785156,0.55065917968,-0.75952148437,,,,,,,,
 1655063128837.27465820312,,,,,,16658,-15152,3547,13111,
 1655063128868.43310546875,,,,,,16590,-13677,3511,13079,
 1655063128905.54248046875,-0.16955566406,0.71643066406,-0.81384277343,,,,,,,,
 1655063128962.27465820312,,,,,,16588,-12266,3541,13047,
 1655063128971.97924804687,0.13879394531,0.71765136718,-0.86108398437,,,,,,,,
 1655063129014.82592773437,,,,,,16462,-9841,3479,12983,
 1655063129021.814453125,,,,,,16438,-8841,3487,12951,
 1655063129103.08276367187,0.49829101562,0.619140625,-0.87890625,,,,,,,,
 1655063129107.20263671875,,,,,,16579,-5794,3660,12887,
 1655063129153.00952148437,0.52844238281,0.64208984375,-0.84655761718,,,,,,,,
 1655063129157.34301757812,,,,,,16652,-4715,3829,12823,
 1655063129206.35424804687,0.27978515625,0.65478515625,-0.79711914062,,,,,,,,
 1655063129210.6572265625,,,,,,16709,-2379,1177,15532,
 1655063129257.86791992187,,,,,,16677,-1258,1249,15428,
 1655063129272.4248046875,,,,,,16633,-318,1237,15396,
 1655063129305.75,-0.03515625,0.62951660156,-0.69689941406,,,,,,,,
 1655063129309.68676757812,,,,,,16492,313,1128,15364,
 1655063129393.79321289062,-0.18310546875,0.77404785156,-0.73254394531,,,,,,,,
 1655063129449.82348632812,,,,,,16414,344,1114,15300,
 1655063129455.31665039062,,,,61,0,,,,
 1655063129461.66430664062,0.04382324218,0.86853027343,-0.83972167968,,,,,,,,
 1655063129504.93823242187,,,,,,16465,-1387,1229,15236,
 1655063129618.95190429687,0.44055175781,0.79272460937,-0.82202148437,,,,,,,,
 1655063129623.59057617187,,,,,,16702,-8312,1594,15108,
 1655063129677.48461914062,,,,,,16800,-9604,1724,15076,
 1655063129684.7783203125,0.01806640625,0.42431640625,-0.67077636718,,,,,,,,
 1655063129719.9345703125,,,,,,16831,-11029,1819,15012,
 1655063129726.95361328125,,,,,,16795,-11004,1815,14980,
 1655063129778.07055664062,-0.27087402343,0.57202148437,-0.70263671875,,,,,,,,
 1655063129782.28198242187,,,,,,16756,-9961,1840,14916,
 1655063129820.42895507812,,,,,,16582,-9447,1698,14884,
 1655063129841.2724609375,-0.32116699218,0.82336425781,-0.74450683593,,,,,,,,
 1655063129864.92358398437,,,,,,16474,-9233,1622,14852,
 1655063129920.83178710937,0.04406738281,0.92077636718,-0.8193359375,,,,,,,,
 1655063129924.95166015625,,,,,,16420,-10431,1632,14788,
 1655063129979.48657226562,,,,,,16253,-14292,1529,14724,
 1655063129998.65161132812,0.41662597656,0.80456542968,-0.78649902343,,,,,,,,
 1655063130080.31665039062,,,,,,16405,-22767,1641,14660,
 1655063130112.66528320312,,,,,,16520,-25168,1924,14596,
 1655063130146.326171875,,,,,,16584,-26860,2020,14564,
 1655063130158.38061523437,0.2041015625,0.64892578125,-0.72570800781,,,,,,,,
 1655063130179.8955078125,,,,,,16645,-27607,2113,14532,
 1655063130213.89208984375,,,,,,16643,-27294,2143,14500,
 1655063130238.70288085937,-0.1142578125,0.55065917968,-0.70837402343,,,,,,,,
 1655063130269.80029296875,,,,,,16574,-25972,2106,14468,
 1655063130281.12231445312,,,,,,16371,-23842,1935,14436,
 1655063130317.1025390625,,,,,,16209,-21114,1805,14404,
 1655063130322.68725585937,-0.35656738281,0.69140625,-0.77856445312,,,,,,,,
 1655063130389.82592773437,,,,,,16182,-14854,1842,14340,
 1655063130398.37084960937,-0.2548828125,0.8310546875,-0.85192871093,,,,,,,,
