 Time,Acc_x,Acc_y,Acc_z,HRM_b,HRM_c,HRM_r,HRM_f,PPG_r,PPG_o,BTHRM
 1654529750432.63818359375,,,,,,7358,15222,2879,800,
 1654529750468.86254882812,,,,,,7342,20501,2903,768,
 1654529750507.0400390625,-0.76708984375,0.29260253906,-0.37341308593,,,,,,,,
 1654529750513.11303710937,,,,,,7326,24477,2927,736,
 1654529750549.58154296875,,,,,,7278,27716,2935,704,
 1654529750587.1181640625,-0.771484375,0.34692382812,-0.32934570312,,,,,,,,
 1654529750592.91650390625,,,,,,7182,30681,2919,672,
 1654529750630.208984375,,,,,,7070,32767,2895,640,
 1654529750691.18310546875,,,,78,100,,,,
 1654529750694.38745117187,,,,,,,,,,78
 1654529750697.19506835937,-0.83923339843,0.42858886718,-0.36303710937,,,,,,,,
 1654529750711.44677734375,,,,,,6998,32767,2891,608,
 1654529750716.42114257812,,,,53,21,,,,
 1654529750742.1474609375,-0.9990234375,0.52709960937,-0.44970703125,,,,,,,,
 1654529750753.3779296875,,,,,,7038,32767,2943,576,
 1654529750791.37231445312,,,,,,7102,32767,3007,544,
 1654529750822.37817382812,-1.05895996093,0.55114746093,-0.47961425781,,,,,,,,
 1654529750833.42553710937,,,,,,7150,32767,3063,512,
 1654529750871.7861328125,,,,,,7182,32767,3111,480,
 1654529750901.9375,-1.03161621093,0.52587890625,-0.44567871093,,,,,,,,
 1654529750912.98486328125,,,,,,7166,32767,3135,448,
 1654529750952.5966796875,,,,,,7134,32767,3151,416,
 1654529750982.22924804687,-1.05541992187,0.51623535156,-0.38708496093,,,,,,,,
 1654529750993.67333984375,,,,,,7094,32767,3163,384,
 1654529751032.82739257812,,,,,,7086,32767,3191,352,
 1654529751063.03979492187,-1.01123046875,0.48669433593,-0.31188964843,,,,,,,,
 1654529751073.9345703125,,,,,,7022,32767,3191,320,
 1654529751113.7294921875,,,,,,6958,28671,3191,288,
 1654529751179.037109375,-0.92602539062,0.44482421875,-0.24755859375,,,,,,,,
 1654529751183.24853515625,,,,,,6894,23232,3191,256,
 1654529751222.03637695312,-0.85400390625,0.39294433593,-0.20715332031,,,,,,,,
 1654529751274.31298828125,,,,,,6774,13079,3195,192,
