 Time,Acc_x,Acc_y,Acc_z,HRM_b,HRM_c,HRM_r,HRM_f,PPG_r,PPG_o,BTHRM
 1655063125740.73974609375,,,,,,7150,-32768,3575,0,
 1655063125753.67919921875,-0.4775390625,0.43542480468,-0.91345214843,,,,,,,,
 1655063125781.90795898437,,,,,,7166,-32768,3583,0,
 1655063125823.28979492187,,,,,,7294,-32768,3647,0,
 1655063125833.29956054687,-0.03405761718,0.466796875,-1.12744140625,,,,,,,,
 1655063125864.15283203125,,,,,,7390,-32768,3695,0,
 1655063125905.26000976562,,,,,,7422,-32768,3711,0,
 1655063125913.56079101562,0.40307617187,0.25524902343,-1.13757324218,,,,,,,,
 1655063125948.25927734375,,,,,,,,,,105
 1655063125951.1279296875,,,,,,7486,-32768,3743,0,
 1655063125988.08471679687,,,,,,7486,-27636,3743,0,
 1655063125995.77514648437,0.24743652343,0.04919433593,-1.04956054687,,,,,,,,
 1655063126028.85620117187,,,,,,7422,-20494,3711,0,
 1655063126073.35083007812,,,,,,7294,-12678,3647,0,
 1655063126078.50830078125,-0.25451660156,0.16467285156,-0.88757324218,,,,,,,,
 1655063126111.31469726562,,,,,,7326,-4697,3663,0,
 1655063126155.13793945312,-0.56689453125,0.40405273437,-0.82666015625,,,,,,,,
 1655063126159.56298828125,,,,,,7358,2721,3679,0,
 1655063126193.59008789062,,,,,,7358,9029,3679,0,
 1655063126237.71850585937,-0.14233398437,0.41662597656,-1.0859375,,,,,,,,
 1655063126242.20458984375,,,,,,7374,13782,3687,0,
 1655063126275.86547851562,,,,,,7326,16709,3663,0,
 1655063126319.84130859375,0.45581054687,0.28698730468,-1.15161132812,,,,,,,,
 1655063126324.23583984375,,,,,,7326,17710,3663,0,
 1655063126358.96484375,,,,,,7358,16942,3679,0,
 1655063126364.24438476562,,,,42,76,,,,
 1655063126393.66333007812,0.42626953125,0.21301269531,-1.03002929687,,,,,,,,
 1655063126440.5078125,,,,,,7454,14781,3727,0,
 1655063126520.79956054687,-0.19409179687,0.27136230468,-0.88256835937,,,,,,,,
 1655063126553.14819335937,-0.67309570312,0.3662109375,-0.82019042968,,,,,,,,
 1655063126565.29418945312,,,,,,7534,8116,3767,0,
 1655063126605.33325195312,,,,,,7518,4678,3759,0,
 1655063126633.47045898437,-0.42956542968,0.46057128906,-0.99841308593,,,,,,,,
 1655063126646.86767578125,,,,,,7486,1850,3743,0,
 1655063126687.54760742187,,,,,,7454,3,3727,0,
 1655063126713.24340820312,0.35314941406,0.38989257812,-1.10559082031,,,,,,,,
 1655063126729.08203125,,,,,,7486,-699,3743,0,
 1655063126770.03662109375,,,,,,7550,-189,3775,0,
 1655063126793.10791015625,0.65454101562,0.29748535156,-1.06176757812,,,,,,,,
 1655063126811.99829101562,,,,,,7534,1422,3767,0,
 1655063126852.52563476562,,,,,,7470,3654,3735,0,
 1655063126873.43017578125,0.064453125,0.31689453125,-0.92663574218,,,,,,,,
 1655063126893.57177734375,,,,,,7358,6038,3679,0,
 1655063126951.8603515625,,,,,,,,,,104
 1655063126954.82055664062,,,,,,7230,8112,3615,0,
 1655063126959.61181640625,-0.59008789062,0.40307617187,-0.77404785156,,,,,,,,
 1655063126975.11474609375,,,,,,7126,9444,3563,0,
 1655063127017.2900390625,,,,,,7086,9716,3543,0,
 1655063127033.22021484375,-0.681640625,0.54858398437,-0.85815429687,,,,,,,,
 1655063127059.31274414062,,,,,,7134,8737,3567,0,
 1655063127064.31762695312,,,,42,76,,,,
 1655063127099.443359375,,,,,,7294,6506,3647,0,
 1655063127113.51196289062,0.04797363281,0.58728027343,-1.08813476562,,,,,,,,
 1655063127140.88623046875,,,,,,7422,3125,3711,0,
 1655063127181.62719726562,,,,,,7486,-1077,3743,0,
 1655063127193.16284179687,0.63317871093,0.46032714843,-1.10778808593,,,,,,,,
 1655063127224.35180664062,,,,,,7582,-5666,3791,0,
 1655063127264.14672851562,,,,,,7518,-10220,3247,512,
 1655063127273.02734375,0.39953613281,0.32409667968,-0.99084472656,,,,,,,,
 1655063127305.498046875,,,,,,7454,-14248,3199,528,
 1655063127346.36108398437,,,,,,7230,-17469,3119,496,
 1655063127355.08911132812,-0.14709472656,0.3251953125,-0.94152832031,,,,,,,,
 1655063127387.59033203125,,,,,,7038,-19658,3055,464,
 1655063127428.72802734375,,,,,,6910,-20742,3023,432,
 1655063127436.357421875,-0.4833984375,0.39135742187,-0.91430664062,,,,,,,,
 1655063127521.59301757812,,,,,,6814,-20710,3007,400,
 1655063127532.79296875,,,,,,6778,-19698,3021,368,
 1655063127552.47680664062,,,,,,6686,-18149,3007,336,
 1655063127596.84936523437,0.39172363281,0.55578613281,-0.93249511718,,,,,,,,
 1655063127601.18286132812,,,,,,6558,-16383,2975,304,
 1655063127635.27099609375,,,,,,6486,-14564,2971,272,
 1655063127678.75854492187,0.53918457031,0.54370117187,-0.87158203125,,,,,,,,
 1655063127683.00048828125,,,,,,6542,-12937,3031,240,
 1655063127717.21069335937,,,,,,6558,-11715,3071,208,
 1655063127752.94677734375,0.19836425781,0.47766113281,-0.77856445312,,,,,,,,
 1655063127799.36401367187,,,,,,6366,-11006,3007,176,
 1655063127839.37255859375,-0.17956542968,0.47912597656,-0.7236328125,,,,,,,,
 1655063127843.40087890625,,,,,,6110,-10685,2911,144,
 1655063127881.85302734375,,,,,,5854,-10604,2815,112,
 1655063127913.01147460937,-0.27233886718,0.50695800781,-0.83569335937,,,,,,,,
 1655063127923.60107421875,,,,,,5662,-10491,2751,80,
